horizon,n,cases,original_auc,adapted_auc,delta_auc,original_brier,adapted_brier
1yr,1800,34,0.5608220638198654,0.6145992938511758,0.05377723003131041,0.01855963394818703,0.018443331595297218
2yr,1800,63,0.5340625599692956,0.6080269759026234,0.07396441593332781,0.03391852848713118,0.033669137530558925
3yr,1734,95,0.5597058540188177,0.6265823191291224,0.06687646511030476,0.05203850834996363,0.05141356706062467
4yr,1685,120,0.5621512247071352,0.6282534611288604,0.06610223642172519,0.06664442717684646,0.06547747687172627
5yr,1620,151,0.5676925781831133,0.6396882142647834,0.07199563608167014,0.08552310823760892,0.08333267805254918
