horizon,top_percent,n_top,cases_top,event_rate_top,overall_event_rate,enrichment,case_capture
1yr,1,34,25,0.7352941176470589,0.018323820967257435,40.12777242044359,0.4098360655737705
1yr,2,67,39,0.582089552238806,0.018323820967257435,31.766821629557132,0.639344262295082
1yr,5,167,53,0.31736526946107785,0.018323820967257435,17.319819377638165,0.8688524590163934
1yr,10,333,55,0.16516516516516516,0.018323820967257435,9.013685816964506,0.9016393442622951
2yr,1,33,27,0.8181818181818182,0.036834094368340946,22.212622088655145,0.2231404958677686
2yr,2,66,48,0.7272727272727273,0.036834094368340946,19.744552967693462,0.39669421487603307
2yr,5,165,73,0.44242424242424244,0.036834094368340946,12.011269722013523,0.6033057851239669
2yr,10,329,85,0.25835866261398177,0.036834094368340946,7.0141174106357855,0.7024793388429752
