horizon,n,cases,event_rate,auc,brier,expected_cases,observed_cases,e_o_ratio,calibration_intercept,calibration_slope
1yr,3329,61,0.018323820967257435,0.968010714930674,0.009852068612955237,71.15925505450838,61.0,1.1665451648280063,-0.00029704351640129595,1.1349966707175114
2yr,3285,121,0.036834094368340946,0.8965740614976334,0.023090726217538108,129.98284868953405,121.0,1.074238418921769,-0.062303715887596985,1.0216442752276076
