horizon,threshold,model,net_benefit
1yr,0.002,Treat all,0.01635653403532809
1yr,0.002,Treat none,0.0
1yr,0.002,Baseline,0.016001964878991987
1yr,0.002,Updated,0.01635773800529867
1yr,0.004,Treat all,0.014381346352668106
1yr,0.004,Treat none,0.0
1yr,0.004,Baseline,0.013810725026872285
1yr,0.004,Updated,0.014599702504822534
1yr,0.006,Treat all,0.01239821022862921
1yr,0.006,Treat none,0.0
1yr,0.006,Baseline,0.011020765627105982
1yr,0.006,Updated,0.013084212695820463
1yr,0.008,Treat all,0.010407077587961125
1yr,0.008,Treat none,0.0
1yr,0.008,Baseline,0.007875560809697767
1yr,0.008,Updated,0.012122210486535721
1yr,0.01,Treat all,0.008407899966926702
1yr,0.01,Treat none,0.0
1yr,0.01,Baseline,0.0061261458077318705
1yr,0.01,Updated,0.010977907643573006
1yr,0.012,Treat all,0.006400628509369875
1yr,0.012,Treat none,0.0
1yr,0.012,Baseline,0.004644499387665503
1yr,0.012,Updated,0.010079500111278263
1yr,0.014,Treat all,0.0043852139627357355
1yr,0.014,Treat none,0.0
1yr,0.014,Baseline,0.003449921002780288
1yr,0.014,Updated,0.009159168582443181
1yr,0.016,Treat all,0.002361606674042109
1yr,0.016,Treat none,0.0
1yr,0.016,Baseline,0.0025398872192386687
1yr,0.016,Updated,0.008059257522584237
1yr,0.018000000000000002,Treat all,0.00032975658580186584
1yr,0.018000000000000002,Treat none,0.0
1yr,0.018000000000000002,Baseline,0.002128428871993877
1yr,0.018000000000000002,Updated,0.0081961947680661
1yr,0.020000000000000004,Treat all,-0.001710386768104661
1yr,0.020000000000000004,Treat none,0.0
1yr,0.020000000000000004,Baseline,0.0019372122534805452
1yr,0.020000000000000004,Updated,0.006884460002084342
1yr,0.022,Treat all,-0.0037588742666079394
1yr,0.022,Treat none,0.0
1yr,0.022,Baseline,0.0020818475060523467
1yr,0.022,Updated,0.006363487257360949
1yr,0.024,Treat all,-0.005815757205678857
1yr,0.024,Treat none,0.0
1yr,0.024,Baseline,0.0015782812738527297
1yr,0.024,Updated,0.006303276226307315
1yr,0.026000000000000002,Treat all,-0.007881087302610439
1yr,0.026000000000000002,Treat none,0.0
1yr,0.026000000000000002,Baseline,0.0016937830267643623
1yr,0.026000000000000002,Updated,0.006118837445558075
1yr,0.028000000000000004,Treat all,-0.009954916700352437
1yr,0.028000000000000004,Treat none,0.0
1yr,0.028000000000000004,Baseline,0.001799870696102464
1yr,0.028000000000000004,Updated,0.006002865453484592
1yr,0.03,Treat all,-0.012037297971899553
1yr,0.03,Treat none,0.0
1yr,0.03,Baseline,0.0015793727722327685
1yr,0.03,Updated,0.005323415285231626
1yr,0.032,Treat all,-0.014128284124734058
1yr,0.032,Treat none,0.0
1yr,0.032,Baseline,0.001613668016355146
1yr,0.032,Updated,0.00499244058598492
1yr,0.034,Treat all,-0.016227928605323568
1yr,0.034,Treat none,0.0
1yr,0.034,Baseline,0.0013539340272789408
1yr,0.034,Updated,0.004729751160981326
1yr,0.036000000000000004,Treat all,-0.018336285303674867
1yr,0.036000000000000004,Treat none,0.0
1yr,0.036000000000000004,Baseline,0.001389773510542959
1yr,0.036000000000000004,Updated,0.004838655397244634
1yr,0.038000000000000006,Treat all,-0.020453408557944457
1yr,0.038000000000000006,Treat none,0.0
1yr,0.038000000000000006,Baseline,0.0014188923771380965
1yr,0.038000000000000006,Updated,0.003775802514162381
1yr,0.04,Treat all,-0.02257935315910684
1yr,0.04,Treat none,0.0
1yr,0.04,Baseline,0.0011389806748773406
1yr,0.04,Updated,0.0029913888054470808
1yr,0.042,Treat all,-0.02471417435568118
1yr,0.042,Treat none,0.0
1yr,0.042,Baseline,0.0008484934381292758
1yr,0.042,Updated,0.0028552776229139633
1yr,0.044000000000000004,Treat all,-0.026857927858517334
1yr,0.044000000000000004,Treat none,0.0
1yr,0.044000000000000004,Baseline,0.0005454789971733127
1yr,0.044000000000000004,Updated,0.002288749432840097
1yr,0.046,Treat all,-0.029010669845642097
1yr,0.046,Treat none,0.0
1yr,0.046,Baseline,0.0005428440620605529
1yr,0.046,Updated,0.0025895299108967445
1yr,0.048,Treat all,-0.03117245696716656
1yr,0.048,Treat none,0.0
1yr,0.048,Baseline,0.0005553437956738719
1yr,0.048,Updated,0.00281205903809406
1yr,0.05,Treat all,-0.033343346350255335
1yr,0.05,Treat none,0.0
1yr,0.05,Baseline,0.0005533509351630804
1yr,0.05,Updated,0.002814184755972237
1yr,0.052000000000000005,Treat all,-0.03552339560415883
1yr,0.052000000000000005,Treat none,0.0
1yr,0.052000000000000005,Baseline,0.0005843038988659941
1yr,0.052000000000000005,Updated,0.0026921073344715217
1yr,0.054000000000000006,Treat all,-0.03771266282530927
1yr,0.054000000000000006,Treat none,0.0
1yr,0.054000000000000006,Baseline,0.0005836339884556054
1yr,0.054000000000000006,Updated,0.0027581310248777956
1yr,0.056,Treat all,-0.03991120660248153
1yr,0.056,Treat none,0.0
1yr,0.056,Baseline,0.0005829612394417828
1yr,0.056,Updated,0.0028562555050379054
1yr,0.058,Treat all,-0.04211908602201972
1yr,0.058,Treat none,0.0
1yr,0.058,Baseline,0.00030039050765995795
1yr,0.058,Updated,0.002651217283104979
1yr,0.060000000000000005,Treat all,-0.044336360673130404
1yr,0.060000000000000005,Treat none,0.0
1yr,0.060000000000000005,Baseline,0.00030039050765995795
1yr,0.060000000000000005,Updated,0.0028185577420859883
1yr,0.062,Treat all,-0.04656309065324367
1yr,0.062,Treat none,0.0
1yr,0.062,Baseline,0.00030039050765995795
1yr,0.062,Updated,0.0026048788798572467
1yr,0.064,Treat all,-0.04879933657344292
1yr,0.064,Treat none,0.0
1yr,0.064,Baseline,0.00030039050765995795
1yr,0.064,Updated,0.0024236635831709425
1yr,0.066,Treat all,-0.0510451595639642
1yr,0.066,Treat none,0.0
1yr,0.066,Baseline,0.00030039050765995795
1yr,0.066,Updated,0.0025562138703226402
1yr,0.068,Treat all,-0.053300621279766716
1yr,0.068,Treat none,0.0
1yr,0.068,Baseline,0.00030039050765995795
1yr,0.068,Updated,0.002533336255587199
1yr,0.07,Treat all,-0.05556578390617481
1yr,0.07,Treat none,0.0
1yr,0.07,Baseline,0.0
1yr,0.07,Updated,0.00258400436696738
1yr,0.07200000000000001,Treat all,-0.0578407101645933
1yr,0.07200000000000001,Treat none,0.0
1yr,0.07200000000000001,Baseline,0.0
1yr,0.07200000000000001,Updated,0.0026180586486570473
1yr,0.07400000000000001,Treat all,-0.06012546331829652
1yr,0.07400000000000001,Treat none,0.0
1yr,0.07400000000000001,Baseline,0.0
1yr,0.07400000000000001,Updated,0.00265745036582114
1yr,0.076,Treat all,-0.062420107178292814
1yr,0.076,Treat none,0.0
1yr,0.076,Baseline,0.0
1yr,0.076,Updated,0.0021508480505176212
1yr,0.078,Treat all,-0.06472470610926526
1yr,0.078,Treat none,0.0
1yr,0.078,Baseline,0.0
1yr,0.078,Updated,0.002177016672650585
1yr,0.08,Treat all,-0.06703932503558974
1yr,0.08,Treat none,0.0
1yr,0.08,Baseline,0.0
1yr,0.08,Updated,0.0022855799495866366
