finding,finding_status,subgroup,n,cases,event_rate_pct,mean_predicted_risk_pct,eo_ratio,auc,ci_low,ci_high,reliability
Asymmetry,No,No Asymmetry,414021,1672,0.404,0.478,1.184,0.7489,0.7354,0.7614,Reliable
Asymmetry,Has,Has Asymmetry,24548,1004,4.09,0.7,0.171,0.6616,0.6437,0.6796,Reliable
Calcification,No,No Calcification,428010,1507,0.352,0.463,1.315,0.7048,0.6904,0.7189,Reliable
Calcification,Has,Has Calcification,10559,1169,11.071,1.61,0.145,0.6187,0.6004,0.6372,Reliable
Mass,No,No Mass,430519,1927,0.448,0.479,1.069,0.7285,0.7163,0.7407,Reliable
Mass,Has,Has Mass,8050,749,9.304,1.127,0.121,0.6844,0.6618,0.7076,Reliable
Architectural Distortion,No,No Architectural Distortion,434781,2125,0.489,0.486,0.994,0.7291,0.7172,0.7412,Reliable
Architectural Distortion,Has,Has Architectural Distortion,3788,551,14.546,1.012,0.07,0.6937,0.6699,0.7183,Reliable
