horizon,original_auc,logistic_updated_auc,delta_auc,logistic_updated_brier,logistic_updated_e_o_ratio,test_exams,test_cases
1yr,0.7422463399493339,0.7903376991222574,0.04809135917292351,0.005533568650733,1.078077025059699,21937,126
2yr,0.7404269977573402,0.7726504924609021,0.032223494703561895,0.0075953852609145,1.090771448048828,21937,173
3yr,0.7146199460179244,0.7408742429603647,0.026254296942440303,0.0118771036795119,1.0443379864038147,21937,270
4yr,0.7028936133115848,0.7217072944513979,0.018813681139813077,0.0164997128185746,1.0337317915921864,18989,327
5yr,0.6906191619276137,0.7184894571293636,0.027870295201749884,0.0234004737993479,1.0360145020087326,15231,393
