horizon,original_auc,adapted_auc,delta_auc,adapted_brier,adapted_e_o_ratio,test_exams,test_cases
1yr,0.7237255789803021,0.7309094087426229,0.0071838297623207925,0.0062546302412909,0.8993449232783196,136950,885
2yr,0.71688163565007,0.7307257067777849,0.013844071127714908,0.0085765600446767,0.913138724464306,136950,1210
3yr,0.685014424343954,0.697881882126487,0.012867457782533065,0.0130410746739976,0.9017495026734038,136950,1846
4yr,0.6751365944113645,0.6889816782156479,0.013845083804283398,0.0157829893297557,0.9085191921321054,76670,1252
5yr,0.6709938851680877,0.6879140592544055,0.016920174086317852,0.0178977953752626,1.0847790155747956,74961,1392
