horizon,test_exams,cases,auc,brier,e_o_ratio,calibration_intercept,calibration_slope
1yr,21937,126,0.7422463399493339,0.0056105710114491,0.8814351917858022,-0.984690428278705,0.7561296961395407
2yr,21937,173,0.7404269977573402,0.0077184991931027,1.2097615833644368,-0.7381217144634332,0.8689654057576665
3yr,21937,270,0.7146199460179244,0.0119768993834108,1.105218683104798,-0.4548646069043965,0.9108983045744824
4yr,18989,327,0.7028936133115848,0.0166859561899036,1.0381353663077004,-0.4377924577113959,0.8928982583924508
5yr,15231,393,0.6906191619276137,0.0246931481476888,0.840801255675899,-0.1619176303736996,0.9039400063216022
