horizon,n,cases,original_auc,logistic_updated_auc,final_tuned_auc,delta_auc_final_vs_original,original_brier,logistic_updated_brier,final_tuned_brier
1yr,10393,67,0.7511223660893672,0.795313091717473,0.8318604536874026,0.08073808759803536,0.0062070411173445,0.0061225673671011,0.0060114633781138
2yr,10393,82,0.7515192158031561,0.7939307062549824,0.8319761514461231,0.08045693564296708,0.0075606850601108,0.0074869483773731,0.007412805095008
3yr,10393,124,0.7219371487627968,0.7646910997395859,0.8025540383050773,0.08061688954228052,0.0114586726836512,0.0113845600233974,0.0111908004518845
4yr,9803,146,0.7022962972419751,0.7272317192014877,0.7949166691490734,0.09262037190709838,0.0143187235905595,0.0142346944226495,0.0130998899002639
5yr,8937,185,0.6847336824941943,0.6633467562626612,0.7793566875833786,0.09462300508918431,0.019805919135663,0.0194926393469312,0.01643358976075
