horizon,eligible_exams,cases,auc,ci_low,ci_high,brier,e_o_ratio,calibration_intercept,calibration_slope
1yr,438571,2676,0.7311541254286855,0.7205,0.7409,0.0059152630113846,0.8040174640441441,-0.7699595137769546,0.7831838629075226
2yr,438571,3705,0.7149433433674168,0.7057,0.7233,0.0082149395077833,1.1039758527092316,-0.6648712288386325,0.8651959943816706
3yr,438571,5550,0.6888860548989042,0.6799,0.6975,0.012275085628658,1.0564900410963265,-0.4169388268448612,0.9093739661449431
4yr,379203,6670,0.6774182405325162,0.6692,0.6856,0.0169663760046744,1.0005249814051071,-0.3928897984990737,0.8953362611617272
5yr,303929,8011,0.6648200559637605,0.6567,0.6728,0.0251560727877284,0.8077565500239355,-0.1306253047392303,0.9018262344934068
