horizon,task,auc,brier,e_o_ratio,test_exams,test_cases,delta_auc_vs_original
1yr,original_mirai,0.7422463399493339,0.0056105710114491,0.8814351917858022,21937,126,0.0
1yr,final_pre_screen,0.8351476210125515,0.0054866910004004,0.9408871694109908,21937,126,0.0929012810632176
1yr,post_screen_calibrated,0.9641210602193592,0.0042181298233734,0.8595044488448528,21937,126,0.2218747202700253
2yr,original_mirai,0.7404269977573402,0.0077184991931027,1.2097615833644368,21937,173,0.0
2yr,final_pre_screen,0.8250949757408161,0.007542807947747,0.9414703983115198,21937,173,0.0846679779834759
2yr,post_screen_calibrated,0.9129630731345076,0.0065418831550618,0.9092496308198312,21937,173,0.1725360753771673
